Designator,Mid X,Mid Y,Layer,Rotation
C1,14.61,12.12,Top,90.0
C2,13.06,12.73,Top,90.0
C3,36.60,-13.84,Top,0.0
C4,43.23,-6.36,Top,0.0
C5,13.56,10.03,Top,270.0
C6,43.23,-8.59,Top,0.0
C7,43.23,-10.81,Top,0.0
C8,43.23,-13.03,Top,0.0
C9,31.80,-10.22,Top,270.0
C10,13.21,-4.57,Top,0.0
C11,12.62,-3.02,Top,0.0
C12, 9.91,-1.73,Top,270.0
C13,18.31,-8.86,Top,90.0
C17, 5.44,14.68,Top,90.0
C18,33.58,-6.12,Top,0.0
C19,23.95,-9.86,Top,270.0
C21, 6.22, 8.26,Top,180.0
C22, 6.22, 6.20,Top,180.0
C23, 7.87,-6.05,Top,180.0
C26,21.73,-9.86,Top,270.0
D1,25.86,-15.57,Top,180.0
D2,49.05,-13.51,Top,270.0
D3,49.05,-3.33,Top,270.0
D4, 8.79,-1.45,Top,90.0
D5,49.05, 6.27,Top,270.0
D6,49.05,14.15,Top,90.0
D11, 8.79, 1.50,Top,270.0
IC1,23.98, 9.22,Top,0.0
IC2,11.05,-10.16,Top,180.0
IC3,12.73, 0.00,Top,0.0
IC4,36.60,-10.34,Top,90.0
IC5,39.85, 6.05,Top,270.0
IC6,39.85,11.53,Top,270.0
J1, 0.00, 0.00,Top,270.0
J8,31.14,-3.10,Top,0.0
J9,22.56,-3.10,Top,0.0
L1,28.08,-10.17,Top,90.0
LED_IO8, 2.51,12.70,Top,90.0
POWER_OK, 2.49,-12.14,Top,0.0
Q1,12.50, 5.92,Top,90.0
Q2,55.75,-13.02,Top,0.0
Q3,55.75,-2.86,Top,0.0
Q4,55.75, 7.30,Top,0.0
Q5,55.75,17.46,Top,0.0
R1,14.61,10.03,Top,270.0
R2,50.90,-13.51,Top,90.0
R3,35.64,-7.16,Top,0.0
R4,14.44, 6.07,Top,90.0
R5,50.90,-3.33,Top,90.0
R6,37.87,-7.16,Top,180.0
R7,33.58,-7.16,Top,0.0
R8,50.90, 6.27,Top,90.0
R9,12.50, 7.67,Top,0.0
R10,15.65,10.03,Top,270.0
R11,50.90,14.15,Top,270.0
R12,16.28,-8.86,Top,270.0
R13, 2.49,-13.18,Top,180.0
R14,12.50, 4.17,Top,180.0
R16,17.17,-14.73,Top,0.0
R17,17.17,-16.00,Top,0.0
R18, 5.44,12.57,Top,270.0
R19,17.17,-17.27,Top,0.0
R20, 6.25,-8.81,Top,90.0
R24,35.89,-1.47,Top,270.0
R25,36.93,-1.47,Top,270.0
RESET, 0.67, 7.89,Top,90.0
S1,11.05,-16.00,Top,270.0
